"","Colour.difference","pcorr","corr","incorr","ind","background","sex","stimuli","batch"
"1",5,0.975,39,1,"aB1","green","male","green","a"
"2",5,1,40,0,"aB3","green","male","green","a"
"3",5,0.9,36,4,"aB4","green","female","green","a"
"4",5,0.95,38,2,"aB5","green","female","green","a"
"5",5,1,40,0,"bB22","green","male","green","b"
"6",5,1,40,0,"bB32","green","female","green","b"
"7",5,0.975,39,1,"bB42","green","female","green","b"
"8",5,1,40,0,"bB62","green","female","green","b"
"9",2.5,0.85,34,6,"aB1","green","male","green","a"
"10",2.5,0.9,36,4,"aB3","green","male","green","a"
"11",2.5,0.925,37,3,"aB4","green","female","green","a"
"12",2.5,1,40,0,"aB5","green","female","green","a"
"13",2.5,0.95,38,2,"bB22","green","male","green","b"
"14",2.5,1,40,0,"bB32","green","female","green","b"
"15",2.5,0.925,37,3,"bB42","green","female","green","b"
"16",2.5,0.975,39,1,"bB62","green","female","green","b"
"17",1.8,0.875,35,5,"aB1","green","male","green","a"
"18",1.8,0.9,36,4,"aB3","green","male","green","a"
"19",1.8,0.95,38,2,"aB4","green","female","green","a"
"20",1.8,1,40,0,"aB5","green","female","green","a"
"21",1.8,0.95,38,2,"bB22","green","male","green","b"
"22",1.8,0.85,34,6,"bB32","green","female","green","b"
"23",1.8,0.975,39,1,"bB42","green","female","green","b"
"24",1.8,0.9,36,4,"bB62","green","female","green","b"
"25",1,0.95,38,2,"aB1","green","male","green","a"
"26",1,0.825,33,7,"aB3","green","male","green","a"
"27",1,0.95,38,2,"aB4","green","female","green","a"
"28",1,0.925,37,3,"aB5","green","female","green","a"
"29",1,0.8,32,8,"bB22","green","male","green","b"
"30",1,0.7,28,12,"bB32","green","female","green","b"
"31",1,0.8,32,8,"bB42","green","female","green","b"
"32",1,0.85,34,6,"bB62","green","female","green","b"
"33",0.6,0.725,29,11,"aB1","green","male","green","a"
"34",0.6,0.5,20,20,"aB3","green","male","green","a"
"35",0.6,0.625,25,15,"aB4","green","female","green","a"
"36",0.6,0.6,24,16,"aB5","green","female","green","a"
"37",0.6,0.625,25,15,"bB22","green","male","green","b"
"38",0.6,0.5,20,20,"bB32","green","female","green","b"
"39",0.6,0.6,24,16,"bB42","green","female","green","b"
"40",0.6,0.575,23,17,"bB62","green","female","green","b"
"41",0.3,0.6,24,16,"aB1","green","male","green","a"
"42",0.3,0.475,19,21,"aB3","green","male","green","a"
"43",0.3,0.475,19,11,"aB4","green","female","green","a"
"44",0.3,0.725,29,11,"aB5","green","female","green","a"
"45",5,0.925,37,3,"C1","orange","male","green","c"
"46",5,0.925,37,3,"C2","orange","female","green","c"
"47",5,0.825,33,7,"C3","orange","male","green","c"
"48",5,0.975,39,1,"C4","orange","male","green","c"
"49",5,0.9,36,4,"D1","orange","female","green","d"
"50",5,1,40,0,"D2","orange","female","green","d"
"51",5,1,40,0,"D3","orange","female","green","d"
"52",5,1,40,0,"D4","orange","male","green","d"
"53",2.5,0.9,36,4,"C1","orange","male","green","c"
"54",2.5,0.95,38,2,"C2","orange","female","green","c"
"55",2.5,0.875,35,5,"C3","orange","male","green","c"
"56",2.5,0.975,39,1,"C4","orange","male","green","c"
"57",2.5,0.875,35,5,"D1","orange","female","green","d"
"58",2.5,0.875,35,5,"D2","orange","female","green","d"
"59",2.5,0.925,37,3,"D3","orange","female","green","d"
"60",2.5,0.925,37,3,"D4","orange","male","green","d"
"61",1.8,0.775,31,9,"C1","orange","male","green","c"
"62",1.8,0.925,37,3,"C2","orange","female","green","c"
"63",1.8,0.875,35,5,"C3","orange","male","green","c"
"64",1.8,0.85,34,6,"C4","orange","male","green","c"
"65",1.8,0.85,34,6,"D1","orange","female","green","d"
"66",1.8,0.95,38,2,"D2","orange","female","green","d"
"67",1.8,0.75,30,10,"D3","orange","female","green","d"
"68",1.8,0.825,33,7,"D4","orange","male","green","d"
"69",0.9,0.6,24,16,"C1","orange","male","green","c"
"70",0.9,0.775,31,9,"C2","orange","female","green","c"
"71",0.9,0.725,29,11,"C3","orange","male","green","c"
"72",0.9,0.9,36,4,"C4","orange","male","green","c"
"73",0.9,0.775,31,9,"D1","orange","female","green","d"
"74",0.9,0.475,19,21,"D2","orange","female","green","d"
"75",0.9,0.525,21,19,"D3","orange","female","green","d"
"76",0.9,0.55,22,18,"D4","orange","male","green","d"
"77",0.6,0.6,24,16,"C1","orange","male","green","c"
"78",0.6,0.575,23,17,"C2","orange","female","green","c"
"79",0.6,0.525,21,19,"C3","orange","male","green","c"
"80",0.6,0.775,31,9,"C4","orange","male","green","c"
"81",0.6,0.5,20,20,"D1","orange","female","green","d"
"82",0.6,0.5,20,20,"D2","orange","female","green","d"
"83",0.6,0.425,17,23,"D3","orange","female","green","d"
"84",0.6,0.425,17,23,"D4","orange","male","green","d"
"85",0.3,0.55,22,18,"C1","orange","male","green","c"
"86",0.3,0.525,21,19,"C2","orange","female","green","c"
"87",0.3,0.6,24,16,"C3","orange","male","green","c"
"88",0.3,0.6,24,16,"C4","orange","male","green","c"
"89",0.3,0.5,20,20,"D1","orange","female","green","d"
"90",0.3,0.5,20,20,"D2","orange","female","green","d"
"91",0.3,0.425,17,23,"D3","orange","female","green","d"
"92",0.3,0.425,17,23,"D4","orange","male","green","d"